Webhook From Poster -> 2022-11-30 21:52:35 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":23,"action":"closed","time":"1669863153","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669863153216,\"value\":3,\"value2\":2900000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"cash\\\":29000},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":2}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 21:52:35 | object: client_payed_sum | action: changed | JsonDATA: {"account":"techworld-co","object":"client_payed_sum","object_id":1,"action":"changed","time":"1669863153","account_number":"936062","data":"{\"value_relative\":29000,\"value_absolute\":130515}"}
Webhook rejected -> 2022-11-30 22:34:21 | verify: 61b230556ab536e305617a0b3d649cc0 | v-original: a23sk3d9123ka31sd3k5asd9123sad93
Webhook rejected -> 2022-11-30 22:58:26 | verify: 61b230556ab536e305617a0b3d649cc0 | v-original: a23sk3d9123ka31sd3k5asd9123sad93
Webhook rejected -> 2022-11-30 23:35:08 | verify: 61b230556ab536e305617a0b3d649cc0 | v-original: a23sk3d9123ka31sd3k5asd9123sad93
Webhook From Poster -> 2022-11-30 23:54:56 | object: transaction | action: added | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"added","time":"1669870495","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"open\",\"time\":1669870495021,\"value\":4,\"value2\":2,\"value3\":2,\"value4\":1,\"value5\":0,\"value_text\":\"{\\\"uses_payed_cert\\\":\\\"1\\\",\\\"round_whole\\\":\\\"1\\\",\\\"service_mode\\\":1}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:02 | object: transaction | action: changed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"changed","time":"1669870501","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"setclient\",\"time\":1669870501643,\"value\":2,\"value2\":0,\"value3\":0,\"value4\":2,\"value5\":null,\"value_text\":\"{\\\"group_id\\\":1,\\\"discount\\\":0}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:07 | object: transaction | action: changed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"changed","time":"1669870506","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"additem\",\"time\":1669870506307,\"value\":6,\"value2\":0,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"price\\\":14500,\\\"unit\\\":\\\"p\\\",\\\"nodiscount\\\":0,\\\"tax\\\":[]}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:11 | object: transaction | action: changed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"changed","time":"1669870509","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"changeitemcount\",\"time\":1669870508959,\"value\":6,\"value2\":2,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"price\\\":14500}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:12 | object: transaction | action: changed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"changed","time":"1669870512","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"changeitemcount\",\"time\":1669870511699,\"value\":6,\"value2\":3,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"price\\\":14500}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:21 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 23:55:21 | object: client_payed_sum | action: changed | JsonDATA: {"account":"techworld-co","object":"client_payed_sum","object_id":2,"action":"changed","time":"1669870520","account_number":"936062","data":"{\"value_relative\":43500,\"value_absolute\":43503}"}
Webhook rejected -> 2022-12-01 00:41:13 | verify: 1907e0d3f2bb2b965f925504d629d012 | v-original: a23sk3d9123ka31sd3k5asd9123sad93
Webhook From Poster -> 2022-12-01 00:41:40 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 00:42:03 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 00:42:21 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 00:45:25 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 00:46:18 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 01:28:43 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-12-01 01:30:02 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":24,"action":"closed","time":"1669870520","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669870519611,\"value\":3,\"value2\":4350000,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"card\\\":43500},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":1,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":2,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":6,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":3}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
